"Liczba zwierząt","Śmierci","Liczba roślin","Liczba wolnych pól","Średni poziom energii","Średnia długość życia","Średnia liczba dzieci","Najpopularniejszy genotyp"
"10","0","12","78","14.6","NaN","0.0","<67046134>"
"10","0","15","76","13.9","NaN","0.0","<67046134>"
"10","0","17","74","13.5","NaN","0.0","<67046134>"
"11","0","20","73","11.636364","NaN","0.18181819","<67046134>"
"12","0","21","72","10.5","NaN","0.33333334","<67046134>"
"14","0","21","71","9.0","NaN","0.5714286","<20624727>"
"15","0","18","71","8.866667","NaN","0.6666667","<20624727>"
"16","0","18","71","8.125","NaN","0.75","<20624727>"
"15","1","18","69","8.466666","3.0","0.8","<20624727>"
"14","3","21","69","8.357142","4.0","1.0","<20624727>"
"16","4","22","70","7.0625","3.75","1.25","<20624727>"
"16","5","21","68","7.0625","4.2","1.375","<20624727>"
"16","6","22","65","6.6875","4.0","1.5","<20624727>"
"16","7","24","66","6.125","3.857143","1.625","<20624727>"
"17","8","23","65","5.7647057","3.75","1.7647059","<55060506>"
"15","10","22","65","6.5333333","5.7","1.7333333","<55060506>"
"15","10","22","64","6.3333335","5.7","1.7333333","<55060506>"
"16","11","23","68","5.625","5.4545455","1.875","<20156652>"
"16","13","22","68","5.6875","6.5384617","2.125","<20156652>"
"17","13","22","66","5.117647","6.5384617","2.1176472","<20156652>"
"16","14","24","62","4.8125","6.285714","2.25","<20156652>"
"14","16","25","63","5.142857","6.375","2.5","<20156652>"
"9","21","26","66","8.0","8.666667","2.1111112","<20156652>"
"9","21","25","70","8.666667","8.666667","2.1111112","<20156652>"
"8","22","25","67","10.25","8.545455","2.375","<20156652>"
"8","22","27","66","10.0","8.545455","2.375","<20156652>"
"7","23","31","65","10.428572","8.565217","2.7142856","<55060506>"
"7","24","35","61","9.571428","8.916667","2.857143","<45266050>"
"7","24","39","55","8.571428","8.916667","2.857143","<45266050>"
"8","24","41","54","7.375","8.916667","2.75","<45266050>"
"7","25","43","50","8.285714","9.8","2.2857144","<45266050>"
"7","25","45","50","8.142858","9.8","2.2857144","<45266050>"
"7","25","47","48","8.0","9.8","2.2857144","<45266050>"
"7","25","48","46","8.285714","9.8","2.2857144","<45266050>"
"7","25","50","45","8.142858","9.8","2.2857144","<45266050>"
"6","26","53","43","9.0","9.653846","2.6666667","<45266050>"
"7","26","55","41","7.714286","9.653846","2.5714285","<17046646>"
"7","26","55","39","8.428572","9.653846","2.5714285","<17046646>"
"7","26","55","39","9.142858","9.653846","2.5714285","<17046646>"
"8","26","54","41","9.0","9.653846","2.5","<17046646>"
"8","26","54","42","9.5","9.653846","2.5","<17046646>"
"8","27","56","41","9.375","9.814815","2.625","<17046646>"
"8","27","55","40","10.25","9.814815","2.625","<17046646>"
"8","27","55","38","10.75","9.814815","2.625","<17046646>"
"8","27","55","39","11.25","9.814815","2.625","<17046646>"
"8","27","54","41","12.125","9.814815","2.625","<17046646>"
"9","27","54","41","11.222222","9.814815","2.5555556","<17046646>"
"11","27","52","44","10.0","9.814815","2.4545455","<17046646>"
"12","27","51","42","9.5","9.814815","2.4166667","<17046646>"
"14","27","47","44","9.0","9.814815","2.357143","<17046646>"
"16","27","47","42","7.75","9.814815","2.3125","<17046646>"
"19","27","46","46","6.4736843","9.814815","2.2631578","<17046646>"
"18","28","44","43","6.8333335","9.571428","2.3888888","<17046646>"
"17","30","41","46","7.529412","9.2","2.5882354","<17046646>"
"16","32","40","47","8.0","9.125","2.75","<17046646>"
"16","32","40","49","7.75","9.125","2.75","<17046646>"
"14","34","37","53","9.357142","10.3529415","2.4285715","<17046646>"
"12","36","37","54","10.916667","10.361111","2.3333333","<17046646>"
"12","36","38","51","10.666667","10.361111","2.3333333","<17046646>"
"13","36","36","55","10.307693","10.361111","2.3076923","<47775036>"
"14","36","39","49","8.857142","10.361111","2.2857144","<47775036>"
"14","36","39","51","8.714286","10.361111","2.2857144","<47775036>"
"15","36","37","52","8.4","10.361111","2.2666667","<47775036>"
"16","36","37","51","7.6875","10.361111","2.25","<47775036>"
"15","37","38","53","7.8","10.216216","2.3333333","<47775036>"
"15","38","35","53","8.266666","10.421053","2.2666667","<72403354>"
"17","38","36","55","6.9411764","10.421053","2.235294","<72403354>"
"17","38","35","51","6.8235292","10.421053","2.235294","<72403354>"
"17","40","36","52","6.470588","10.4","2.4117646","<72403354>"
"18","42","38","55","5.611111","10.119047","2.6111112","<26122327>"
